18.0560 	INFO 	Loaded monitor calibration from ['2025_08_12 09:41']
18.1876 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
19.4353 	INFO 	Using renderer 'AMD Radeon(TM) Graphics' for graphics
19.4353 	INFO 	OpenGL version supported by driver is 4..
19.5374 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000012FC73436D0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000012FC7343E50>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000012FC74E9F60>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(0.0), np.float64(0.0)], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
19.5374 	EXP 	window1: backgroundImage = ''
19.5375 	EXP 	window1: backgroundFit = 'none'
19.9616 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
19.9616 	EXP 	window1: recordFrameIntervals = False
21.4131 	EXP 	window1: recordFrameIntervals = True
21.5968 	EXP 	Screen (0) actual frame rate measured at 59.99Hz
21.5968 	EXP 	window1: recordFrameIntervals = False
21.6585 	INFO 	keyboard.Keyboard is using ptb backend.
21.6585 	EXP 	StroopTask: status = STARTED
21.9577 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05), italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Welcome!', units='height', win=Window(...), wrapWidth=1)
21.9792 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
21.9799 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
21.9901 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05), italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Thankyou!!!!!', units='height', win=Window(...), wrapWidth=1)
0.0362 	EXP 	text_2: autoDraw = True
1.0110 	EXP 	Imported C:/Users/Kashish/Downloads/StroopTask.xlsx as conditions, 4 conditions, 4 params
1.0136 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'Word': 'BLUE', 'Color': 'blue', 'Stimulus_Condition': 'C', 'Correct_Response': 'b', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
1.0410 	EXP 	text_2: autoDraw = False
1.0410 	EXP 	text: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
1.0410 	EXP 	text: height = np.float64(0.05)
1.0410 	EXP 	text: height = np.float64(0.05)
1.0410 	EXP 	text: height = np.float64(0.05)
1.0410 	EXP 	text: text = 'BLUE'
1.0410 	EXP 	fixation: autoDraw = True
1.5078 	INFO 	Keyboard events cleared
1.5077 	EXP 	fixation: autoDraw = False
1.5077 	EXP 	text: autoDraw = True
3.4429 	EXP 	Device response: <KeyPress from None: t=3.3110957000026247, value=b, duration=None>
3.4432 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'Word': 'BLUE', 'Color': 'red', 'Stimulus_Condition': 'I', 'Correct_Response': 'r', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
3.4446 	DATA 	Keypress: b
3.4662 	EXP 	fixation: autoDraw = False
3.4662 	EXP 	text: autoDraw = False
3.4662 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
3.4662 	EXP 	text: text = 'BLUE'
3.4662 	EXP 	fixation: autoDraw = True
3.4667 	EXP 	Device response: <KeyPress from None: t=3.3110957000026247, value=b, duration=0.14806839999801014>
3.9492 	INFO 	Keyboard events cleared
3.9490 	EXP 	fixation: autoDraw = False
3.9490 	EXP 	text: autoDraw = True
4.6993 	EXP 	Device response: <KeyPress from None: t=4.68991040000401, value=r, duration=None>
